UK0050,52.28,-2.30
UK0051,50.65,-4.64
UK0052,54.69,-5.20
UK0055,55.88,-4.36
UK0056,52.83,1.37
UK0057,57.97,-3.30
UK005C,53.47,0.26
UK005E,52.21,0.19
UK005G,53.06,0.03
UK005H,53.41,-0.89
UK005J,57.41,-1.96
UK005K,54.40,-2.38
UK005L,51.93,-3.34
UK005M,53.15,-1.19
UK005N,51.54,0.05
UK005P,51.19,0.32
UK005R,54.12,-3.09
UK005S,52.35,-2.66
UK005U,51.58,-0.23
UK005V,52.81,-2.05
UK005Y,55.76,-4.97
UK0060,51.37,-3.05
UK0061,55.53,-2.10
UK0062,52.18,-2.34
UK0063,51.47,0.58
UK0066,56.00,-2.41
UK0067,52.25,-2.28
UK0069,51.53,-2.22
UK006A,53.09,-2.44
UK006B,52.38,-0.08
UK006C,53.64,-0.32
UK006D,50.95,-0.45
UK006E,55.74,-2.82
UK006G,53.23,0.26
UK006H,50.09,-1.97
UK006J,54.48,-1.51
UK006K,54.46,-6.83
UK006L,53.07,-0.74
UK006P,52.14,1.12
UK006Q,54.74,-3.69
UK006R,51.54,-0.66
UK006S,51.09,-2.32
UK006T,53.47,-1.67
UK006U,51.19,0.81
UK006V,54.01,-0.62
UK006X,50.88,-1.82
UK006Y,55.42,-3.09
UK006Z,53.48,-1.66
UK0070,52.91,-1.21
UK0072,53.53,-1.71
UK0073,55.09,-1.10
UK0074,55.66,-3.18
UK0075,52.96,-1.01
UK0077,51.84,-2.66
UK0078,51.32,0.17
UK0079,50.54,-0.00
UK007A,51.05,-3.26
UK007B,50.81,-2.86
UK007C,51.15,-0.36
UK007E,51.27,-0.57
UK007G,56.91,-2.38
UK007H,51.43,0.21
UK007J,56.58,-3.27
UK007L,50.99,-1.66
UK007M,53.02,-1.97
UK007N,51.99,-1.12
UK007P,51.47,-2.38
UK007Q,50.90,-2.94
UK007R,51.29,-1.61
UK007U,51.32,0.89
UK007V,51.35,-1.65
UK007W,52.28,1.86
UK007Y,53.00,1.22
UK007Z,56.95,-3.56
UK0080,56.18,-5.18
UK0081,56.68,-3.89
UK0082,56.96,-5.51
UK0083,52.88,-2.38
UK0084,51.18,-0.69
UK0085,56.61,-1.76
UK0086,52.51,-1.94
UK0087,52.96,-0.97
UK0088,54.70,-2.93
UK0089,51.80,-3.96
UK008A,56.38,-1.60
UK008B,51.06,-1.03
UK008C,50.24,-0.25
UK008D,50.64,-1.49
UK008E,50.93,-2.65
UK008F,53.33,-0.19
UK008G,53.68,-1.71
UK008H,55.95,-2.69
UK008J,51.86,-3.36
UK008K,51.50,-2.37
UK008L,52.55,-2.78
UK008M,51.64,0.38
UK008Q,50.32,-3.17
UK008R,57.58,-3.80
UK008S,53.48,-2.91
UK008T,50.31,-0.08
UK008U,54.13,-5.68
UK008V,51.58,-3.10
UK008W,51.70,-2.06
UK008X,51.14,-1.75
UK008Z,52.21,0.88
UK0090,53.76,-2.16
UK0092,51.48,-0.11
UK0096,55.79,-5.46
UK0098,53.47,-0.69
UK0099,52.20,-1.05
UK009A,51.58,-0.97
UK009B,59.68,-1.20
UK009C,55.99,-4.39
UK009D,51.23,-3.17
UK009E,51.36,-0.38
UK009F,58.97,-2.95
UK009G,51.15,-2.00
UK009J,52.49,-0.72
UK009K,51.31,-2.19
UK009L,51.48,-0.21
UK009M,52.15,1.19
UK009P,52.19,-2.57
UK009Q,57.20,-3.96
UK009R,51.32,1.12
UK009S,50.82,-3.60
UK009T,52.95,-1.68
UK009U,52.98,-0.76
UK009V,51.82,-1.27
UK009W,51.22,-1.60
UK009X,50.85,0.35
UK00A0,53.40,0.20
UK00A1,50.56,-4.29
UK00A2,50.26,-3.08
UK00A3,53.48,-1.66
UK00A4,51.43,1.28
UK00A5,51.60,-1.89
UK00A6,50.80,-1.73
UK00A7,59.12,-3.37
UK00A9,52.04,0.64
UK00AA,53.90,-3.90
UK00AB,50.58,-2.37
UK00AD,57.54,-2.62
UK00AE,51.47,-1.73
UK00AF,51.14,0.08
UK00AG,51.46,-0.85
UK00AJ,53.14,-3.29
UK00AK,50.51,-2.52
